! This data is for documentation purposes only. It corresponds to a real source 
! at gamma energies from 0.1 to 200GeV from Fermi, with some artificial errors 
! added in all columns. For simplicity upper limits and flux have been combined.
! Use of this data outside testing and documentation for MUTIS is not allowed.
! jyear, Flux [ph/cm2/s], CFluxErr [ph/cm2/s]
jyear,CFlux,CFluxErr
2012.955509924709,6.21948e-08,1.9338e-08
2012.974674880219,5.582607e-08,2.4369e-08
2012.993839835729,1.985414e-08,1.4532e-10
2013.013004791239,1.576312e-08,8.0007e-14
2013.0321697467489,1.294105e-08,9.7113e-13
2013.0513347022588,7.155104e-08,1.9875e-08
2013.0704996577686,2.545673e-08,1.5558e-08
2013.0896646132785,3.15398e-08,5.0803e-11
2013.1088295687885,3.84976e-08,1.7782e-08
2013.1279945242984,4.809179e-08,1.5604e-08
2013.1471594798084,1.65421e-08,2.8911e-12
2013.1663244353183,1.889614e-08,5.213e-13
2013.1854893908283,2.121134e-08,1.7335e-10
2013.2046543463382,1.926852e-08,3.8432e-11
2013.2238193018482,2.246961e-08,2.023e-10
2013.2429842573579,2.788061e-08,1.8897e-11
2013.2621492128678,2.563958e-08,8.2104e-11
2013.2813141683778,4.913536e-08,1.5558e-08
2013.3004791238877,5.397145e-08,2.6187e-08
2013.3196440793977,5.507898e-08,2.678e-08
2013.3388090349076,9.540293e-08,2.6131e-08
2013.3579739904176,4.86316e-08,1.3132e-08
2013.3771389459275,3.954284e-08,1.2416e-08
2013.3963039014375,5.202442e-08,2.7332e-08
2013.4154688569472,4.946235e-08,1.6322e-08
2013.4346338124572,7.58619e-08,2.3068e-08
2013.453798767967,6.139015e-08,1.9186e-08
2013.472963723477,4.649201e-08,1.4941e-08
2013.492128678987,3.258767e-08,1.3256e-08
2013.511293634497,1.157948e-08,2.9493e-11
2013.530458590007,2.997263e-08,1.2319e-08
2013.5496235455169,9.501346e-08,2.5046e-08
2013.5687885010268,7.092346e-08,2.3432e-08
2013.5879534565365,8.074483e-08,2.5374e-08
2013.6071184120465,9.329164e-08,2.514e-08
2013.6262833675564,5.52686e-08,3.0673e-08
2013.6454483230664,1.387619e-07,4.2035e-08
2013.6646132785763,1.237862e-07,3.5786e-08
2013.6837782340863,3.716679e-08,2.1226e-08
2013.7029431895962,4.642871e-08,1.4197e-08
2013.7221081451062,8.524164e-08,3.0233e-08
2013.7412731006161,6.886588e-08,1.9158e-08
2013.7604380561258,5.943387e-08,1.6513e-08
2013.7796030116358,8.391344e-08,2.8109e-08
2013.7987679671457,5.615968e-08,1.5346e-08
2013.8179329226557,8.738968e-08,2.5996e-08
2013.8370978781657,9.315124e-08,2.5308e-08
2013.8562628336756,6.633169e-08,2.8085e-08
2013.8754277891856,6.789238e-08,2.7838e-08
2013.8945927446955,8.30113e-08,2.2755e-08
2013.9137577002055,4.933501e-08,1.4577e-08
2013.9329226557152,1.169744e-07,6.3781e-08
2013.9520876112251,8.573332e-08,3.3223e-08
2013.971252566735,7.395796e-08,2.2163e-08
2013.990417522245,6.564229e-08,1.9944e-08
2014.009582477755,1.708023e-08,5.6864e-11
2014.028747433265,1.553971e-08,1.3276e-12
2014.0479123887749,6.466638e-08,2.8612e-08
2014.0670773442848,2.563294e-08,9.5774e-09
2014.0862422997945,4.53441e-08,1.3164e-08
2014.1054072553045,7.187801e-08,2.0976e-08
2014.1245722108144,4.714078e-08,1.6352e-08
2014.1437371663244,1.321249e-08,6.1538e-11
2014.1629021218343,1.984424e-08,1.2787e-10
2014.1820670773443,9.192062e-08,2.5692e-08
2014.2012320328543,3.972427e-08,1.7248e-08
2014.2203969883642,6.739883e-08,2.2688e-08
2014.2395619438742,7.309071e-08,2.1567e-08
2014.2587268993839,5.965686e-08,1.9127e-08
2014.2778918548938,6.311086e-08,1.8974e-08
2014.2970568104038,5.325355e-08,1.5873e-08
2014.3162217659137,1.862445e-08,1.3559e-11
2014.3353867214237,7.595827e-08,3.1836e-08
2014.3545516769336,5.814508e-08,1.8253e-08
2014.3737166324436,6.708585e-08,1.9559e-08
2014.3928815879535,8.206979e-08,2.2629e-08
2014.4120465434635,1.132866e-07,3.0536e-08
2014.4312114989732,6.585958e-08,1.8234e-08
2014.4503764544831,1.770912e-08,3.1169e-11
2014.469541409993,4.677138e-08,1.4025e-08
2014.488706365503,1.339947e-07,3.1663e-08
2014.507871321013,1.757884e-07,3.5476e-08
2014.527036276523,1.196641e-07,4.062e-08
2014.546201232033,1.794639e-07,4.7734e-08
2014.5653661875428,1.310396e-07,2.331e-08
2014.5845311430528,7.940805e-08,3.3268e-08
2014.6036960985625,4.257134e-08,1.4805e-08
2014.6228610540725,5.915282e-08,2.822e-08
2014.6420260095824,1.632959e-07,3.6061e-08
2014.6611909650924,2.946106e-07,4.5344e-08
2014.6803559206023,4.195885e-07,5.4308e-08
2014.6995208761123,2.543394e-07,5.145e-08
2014.7186858316222,1.495491e-07,4.0108e-08
2014.7378507871322,1.013898e-07,3.7211e-08
2014.7570157426421,1.508389e-07,4.0421e-08
2014.7761806981518,8.697518e-08,3.0518e-08
2014.7953456536618,3.736075e-07,5.521e-08
2014.8145106091717,9.926886e-08,3.1287e-08
2014.8336755646817,1.817272e-07,4.1123e-08
2014.8528405201916,1.287738e-07,3.197e-08
2014.8720054757016,5.230892e-08,2.4175e-08
2014.8911704312115,3.341318e-08,1.8833e-08
2014.9103353867215,7.291504e-08,2.1413e-08
2014.9295003422314,9.109832e-08,2.6762e-08
2014.9486652977412,7.23499e-08,2.2147e-08
2014.9678302532511,1.293694e-07,3.5815e-08
2014.986995208761,7.602909e-08,2.4735e-08
2015.006160164271,1.01743e-07,2.9606e-08
2015.025325119781,4.971298e-08,2.3153e-08
2015.044490075291,5.190547e-08,2.2695e-08
2015.0636550308009,1.018539e-07,2.6212e-08
2015.0828199863108,1.357419e-07,2.9257e-08
2015.1019849418208,7.180758e-08,2.6862e-08
2015.1211498973305,3.877789e-08,8.237e-11
2015.1403148528404,7.179808e-08,2.458e-08
2015.1594798083504,7.262936e-08,2.4369e-08
2015.1786447638603,8.033192e-08,3.0527e-08
2015.1978097193703,5.016259e-08,2.2645e-08
2015.2169746748802,1.25344e-07,3.4507e-08
2015.2361396303902,6.944728e-08,3.018e-08
2015.2553045859001,5.343279e-08,2.1343e-08
2015.27446954141,6.525984e-08,1.9567e-08
2015.2936344969198,7.608618e-08,2.5708e-08
2015.3127994524298,1.258736e-07,2.8464e-08
2015.3319644079397,9.819269e-08,3.4215e-08
2015.3511293634497,1.409505e-07,3.5076e-08
2015.3702943189596,2.622716e-07,3.7895e-08
2015.3894592744696,3.058042e-07,4.668e-08
2015.4086242299795,4.061414e-07,5.5456e-08
2015.4277891854895,4.104946e-07,5.6075e-08
2015.4469541409994,3.32454e-07,4.0202e-08
2015.4661190965091,3.602234e-07,4.5664e-08
2015.485284052019,4.552909e-07,5.9596e-08
2015.504449007529,3.190504e-07,4.2451e-08
2015.523613963039,3.076794e-07,4.3589e-08
2015.542778918549,5.324221e-07,5.0816e-08
2015.561943874059,7.074772e-07,5.396e-08
2015.5811088295688,5.631675e-07,4.8048e-08
2015.6002737850788,4.807052e-07,4.3308e-08
2015.6194387405887,3.891573e-07,5.3042e-08
2015.6386036960985,1.753121e-07,3.5463e-08
2015.6577686516084,6.025417e-07,6.4709e-08
2015.6769336071184,3.114192e-07,4.6248e-08
2015.6960985626283,1.200064e-07,2.9815e-08
2015.7152635181383,1.962687e-07,4.2118e-08
2015.7344284736482,1.603422e-07,3.0109e-08
2015.7535934291582,2.345062e-07,3.4102e-08
2015.7727583846681,2.128944e-07,4.3363e-08
2015.791923340178,1.968833e-07,3.7125e-08
2015.8110882956878,1.890234e-07,4.0602e-08
2015.8302532511977,2.220346e-07,4.2658e-08
2015.8494182067077,4.203926e-07,5.2612e-08
2015.8685831622176,3.108595e-07,4.6606e-08
2015.8877481177276,3.413856e-07,5.0566e-08
2015.9069130732375,1.925521e-07,3.5492e-08
2015.9260780287475,3.621726e-07,4.8024e-08
2015.9452429842574,4.096316e-07,4.377e-08
2015.9644079397672,4.271686e-07,4.8072e-08
2015.9835728952771,2.930021e-07,3.8074e-08
2016.002737850787,1.36678e-07,3.0223e-08
2016.021902806297,4.707308e-07,4.0503e-08
2016.041067761807,5.330583e-07,5.2642e-08
2016.060232717317,4.148371e-07,4.709e-08
2016.0793976728269,3.440156e-07,4.3449e-08
2016.0985626283368,2.0225e-07,3.6621e-08
2016.1177275838468,2.340202e-07,3.7072e-08
2016.1368925393565,1.818558e-07,3.7924e-08
2016.1560574948664,1.715737e-07,3.7062e-08
2016.1752224503764,3.98552e-07,5.18e-08
2016.1943874058863,2.454782e-07,4.5561e-08
2016.2135523613963,3.222822e-07,4.1931e-08
2016.2327173169062,2.322216e-07,4.0163e-08
2016.2518822724162,1.411761e-07,2.9975e-08
2016.2710472279261,1.438278e-07,3.1497e-08
2016.290212183436,1.478543e-07,3.6676e-08
2016.3093771389458,1.308621e-07,3.0065e-08
2016.3285420944558,2.234042e-07,6.1338e-08
2016.3477070499657,1.834389e-07,4.8733e-08
2016.3668720054757,4.567163e-07,5.3523e-08
2016.3860369609856,2.163123e-07,4.4343e-08
2016.4052019164956,1.863711e-07,3.368e-08
2016.4243668720055,1.450406e-07,3.6002e-08
2016.4435318275155,9.576882e-08,2.7696e-08
2016.4626967830254,4.10184e-07,4.8257e-08
2016.4818617385351,1.796595e-07,3.7759e-08
2016.501026694045,2.133289e-07,3.8222e-08
2016.520191649555,1.705575e-07,3.6101e-08
2016.539356605065,2.050932e-07,3.7648e-08
2016.558521560575,1.648903e-07,3.615e-08
2016.577686516085,2.130987e-07,3.3752e-08
2016.5968514715948,3.224174e-07,3.8127e-08
2016.6160164271048,8.159351e-08,2.5156e-08
2016.6351813826147,1.752774e-07,3.1633e-08
2016.6543463381245,1.450277e-07,3.2162e-08
2016.6735112936344,9.164241e-08,2.5838e-08
2016.6926762491444,1.713642e-07,3.295e-08
2016.7118412046543,8.913507e-08,2.7058e-08
2016.7310061601643,4.947373e-08,2.6736e-08
2016.7501711156742,4.942447e-08,2.1075e-08
2016.7693360711842,5.225397e-08,1.8369e-08
2016.7885010266941,1.854716e-07,2.9817e-08
2016.807665982204,1.039981e-07,2.4967e-08
2016.8268309377138,1.013912e-07,2.5642e-08
2016.8459958932237,1.266184e-07,3.5573e-08
2016.8651608487337,7.736813e-08,2.7974e-08
2016.8843258042436,1.266922e-07,2.8879e-08
2016.9034907597536,7.506062e-08,2.4089e-08
2016.9226557152635,1.619452e-07,3.7815e-08
2016.9418206707735,1.020896e-07,2.8876e-08
2016.9609856262834,8.686383e-08,2.9371e-08
2016.9801505817934,1.251183e-07,3.2301e-08
2016.9993155373031,9.624378e-08,3.0313e-08
2017.018480492813,2.235345e-07,3.7576e-08
2017.037645448323,1.298765e-07,2.6203e-08
2017.056810403833,6.205279e-08,2.104e-08
2017.075975359343,1.861539e-07,3.0704e-08
2017.0951403148529,1.263454e-07,3.2078e-08
2017.1143052703628,2.474107e-07,4.0832e-08
2017.1334702258728,1.081149e-07,3.0278e-08
2017.1526351813827,2.604239e-08,1.509e-08
2017.1718001368924,4.578613e-08,1.3635e-08
2017.1909650924024,1.045893e-07,2.6821e-08
2017.2101300479123,6.536035e-08,2.2896e-08
2017.2292950034223,8.46309e-08,2.3478e-08
2017.2484599589322,7.427944e-08,2.7633e-08
2017.2676249144422,7.062114e-08,1.862e-08
2017.2867898699521,5.265495e-08,2.2371e-08
2017.305954825462,6.463894e-08,2.5758e-08
2017.325119780972,7.407264e-08,2.9357e-08
2017.3442847364818,8.890611e-08,3.2732e-08
2017.3634496919917,3.596252e-08,1.9116e-08
2017.3826146475017,8.028708e-08,2.3941e-08
2017.4017796030116,7.631955e-08,1.9861e-08
2017.4209445585216,7.583757e-08,2.5536e-08
2017.4401095140315,4.058859e-08,1.5226e-08
2017.4592744695415,6.996723e-08,1.9443e-08
2017.4784394250514,3.066985e-08,1.1787e-08
2017.4976043805614,4.446826e-08,1.362e-08
2017.516769336071,2.153327e-08,1.3049e-11
2017.535934291581,4.532054e-08,2.2583e-08
2017.555099247091,4.714675e-08,2.0259e-08
2017.574264202601,5.667929e-08,1.879e-08
2017.593429158111,4.059803e-08,1.1955e-08
2017.6125941136208,5.104808e-08,1.9356e-08
